Day,Number of Bicycle Hires
3/25/2014,19421
3/26/2014,20493
3/27/2014,23462
3/28/2014,24198
3/29/2014,29511
3/30/2014,26605
3/31/2014,26715
4/1/2014,29782
4/2/2014,28876
4/3/2014,28245
4/4/2014,27401
4/5/2014,25648
4/6/2014,16387
4/7/2014,18883
4/8/2014,26654
4/9/2014,29621
4/10/2014,29229
4/11/2014,28435
4/12/2014,25706
4/13/2014,31404
4/14/2014,28742
4/15/2014,30031
4/16/2014,30934
4/17/2014,27676
4/18/2014,22152
4/19/2014,21424
4/20/2014,7188
4/21/2014,20532
4/22/2014,22689
4/23/2014,27102
4/24/2014,29119
4/25/2014,20400
4/26/2014,25195
4/27/2014,21284
4/28/2014,29474
4/29/2014,46333
4/30/2014,49025
5/1/2014,16644
5/2/2014,26510
5/3/2014,31534
5/4/2014,33030
5/5/2014,33748
5/6/2014,32323
5/7/2014,28802
5/8/2014,19398
5/9/2014,30131
5/10/2014,19373
5/11/2014,17645
5/12/2014,26149
5/13/2014,25351
5/14/2014,34122
5/15/2014,35148
5/16/2014,36268
5/17/2014,38147
5/18/2014,43663
5/19/2014,37088
5/20/2014,33626
5/21/2014,34437
5/22/2014,30819
